,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
47,1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True
76,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
77,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
87,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
95,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
101,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
121,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
133,1,2,female,29.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False
173,0,3,male,21.0,0,0,7.925,S,Third,man,True,,Southampton,no,True
196,0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
198,1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True
201,0,3,male,,8,2,69.55,S,Third,man,True,,Southampton,no,False
213,0,2,male,30.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
223,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
241,1,3,female,,1,0,15.5,Q,Third,woman,False,,Queenstown,yes,False
260,0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
274,1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True
295,0,1,male,,0,0,27.7208,C,First,man,True,,Cherbourg,no,True
300,1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True
304,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
313,0,3,male,28.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
320,0,3,male,22.0,0,0,7.25,S,Third,man,True,,Southampton,no,True
324,0,3,male,,8,2,69.55,S,Third,man,True,,Southampton,no,False
335,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
343,0,2,male,25.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
354,0,3,male,,0,0,7.225,C,Third,man,True,,Cherbourg,no,True
355,0,3,male,28.0,0,0,9.5,S,Third,man,True,,Southampton,no,True
358,1,3,female,,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True
359,1,3,female,,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True
364,0,3,male,,1,0,15.5,Q,Third,man,True,,Queenstown,no,False
368,1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True
384,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
409,0,3,female,,3,1,25.4667,S,Third,woman,False,,Southampton,no,False
410,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
413,0,2,male,,0,0,0.0,S,Second,man,True,,Southampton,no,True
418,0,2,male,30.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
420,0,3,male,,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True
425,0,3,male,,0,0,7.25,S,Third,man,True,,Southampton,no,True
428,0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
431,1,3,female,,1,0,16.1,S,Third,woman,False,,Southampton,yes,False
454,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
459,0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
464,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
466,0,2,male,,0,0,0.0,S,Second,man,True,,Southampton,no,True
470,0,3,male,,0,0,7.25,S,Third,man,True,,Southampton,no,True
476,0,2,male,34.0,1,0,21.0,S,Second,man,True,,Southampton,no,False
481,0,2,male,,0,0,0.0,S,Second,man,True,,Southampton,no,True
485,0,3,female,,3,1,25.4667,S,Third,woman,False,,Southampton,no,False
488,0,3,male,30.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
490,0,3,male,,1,0,19.9667,S,Third,man,True,,Southampton,no,False
494,0,3,male,21.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
500,0,3,male,17.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True
511,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
521,0,3,male,22.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
522,0,3,male,,0,0,7.225,C,Third,man,True,,Cherbourg,no,True
526,1,2,female,50.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True
531,0,3,male,,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True
560,0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
563,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
564,0,3,female,,0,0,8.05,S,Third,woman,False,,Southampton,no,True
568,0,3,male,,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True
573,1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True
588,0,3,male,22.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
589,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
598,0,3,male,,0,0,7.225,C,Third,man,True,,Cherbourg,no,True
601,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
612,1,3,female,,1,0,15.5,Q,Third,woman,False,,Queenstown,yes,False
613,0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
614,0,3,male,35.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
635,1,2,female,28.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True
636,0,3,male,32.0,0,0,7.925,S,Third,man,True,,Southampton,no,True
640,0,3,male,20.0,0,0,7.8542,S,Third,man,True,,Southampton,no,True
641,1,1,female,24.0,0,0,69.3,C,First,woman,False,B,Cherbourg,yes,True
644,1,3,female,0.75,2,1,19.2583,C,Third,child,False,,Cherbourg,yes,False
646,0,3,male,19.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
650,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
656,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
666,0,2,male,25.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
674,0,2,male,,0,0,0.0,S,Second,man,True,,Southampton,no,True
692,1,3,male,,0,0,56.4958,S,Third,man,True,,Southampton,yes,True
696,0,3,male,44.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
709,1,3,male,,1,1,15.2458,C,Third,man,True,,Cherbourg,yes,False
732,0,2,male,,0,0,0.0,S,Second,man,True,,Southampton,no,True
733,0,2,male,23.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
734,0,2,male,23.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
738,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
739,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
757,0,2,male,18.0,0,0,11.5,S,Second,man,True,,Southampton,no,True
758,0,3,male,34.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
760,0,3,male,,0,0,14.5,S,Third,man,True,,Southampton,no,True
773,0,3,male,,0,0,7.225,C,Third,man,True,,Cherbourg,no,True
790,0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
792,0,3,female,,8,2,69.55,S,Third,woman,False,,Southampton,no,False
800,0,2,male,34.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
808,0,2,male,39.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
832,0,3,male,,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True
837,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
838,1,3,male,32.0,0,0,56.4958,S,Third,man,True,,Southampton,yes,True
844,0,3,male,17.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True
846,0,3,male,,8,2,69.55,S,Third,man,True,,Southampton,no,False
859,0,3,male,,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True
863,0,3,female,,8,2,69.55,S,Third,woman,False,,Southampton,no,False
870,0,3,male,26.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
877,0,3,male,19.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
878,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
884,0,3,male,25.0,0,0,7.05,S,Third,man,True,,Southampton,no,True
886,0,2,male,27.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
